"CO_ANO;""CO_MES"";""CO_NCM"";""CO_UNID"";""CO_PAIS"";""SG_UF_NCM"";""CO_VIA"";""CO_URF"";""QT_ESTAT"";""KG_LIQUIDO"";""VL_FOB"";""VL_FRETE"";""VL_SEGURO"""
"2025;""10"";""84719019"";""11"";""386"";""SC"";""04"";""0817700"";1;2;3286;152;0"
"2025;""10"";""61099000"";""11"";""160"";""MS"";""01"";""0927700"";77808;11574;119473;2032;83"
"2025;""08"";""39249000"";""10"";""160"";""AL"";""01"";""0817800"";43251;43251;64233;20943;71"
"2025;""09"";""84561111"";""11"";""386"";""SC"";""01"";""0927700"";2;61665;1730419;206267;9683"
"2025;""09"";""84749000"";""10"";""160"";""SP"";""04"";""0817700"";464;464;22052;5009;4"
"2025;""04"";""42021900"";""11"";""160"";""CE"";""01"";""0717600"";13;322;338;98;0"
"2025;""05"";""29122990"";""10"";""245"";""RJ"";""04"";""0717700"";1;1;120;4;0"
"2025;""12"";""84798290"";""11"";""160"";""RS"";""04"";""0817600"";1;193;1900;1536;0"
"2025;""12"";""85013210"";""11"";""399"";""SP"";""04"";""0817700"";7;7;1323;136;7"
"2025;""11"";""84834090"";""11"";""249"";""MG"";""01"";""0817800"";14;464;66404;463;19"
"2025;""03"";""87082999"";""11"";""474"";""RJ"";""01"";""0717600"";3;0;2;0;0"
"2025;""07"";""29241999"";""10"";""160"";""SP"";""04"";""0817700"";6;6;2122;44;0"
"2025;""04"";""68053090"";""10"";""149"";""SP"";""01"";""0817800"";136;136;1879;427;0"
"2025;""04"";""85176234"";""11"";""160"";""CE"";""04"";""0317901"";7;10;244;22;0"
"2025;""07"";""85114000"";""11"";""361"";""AM"";""01"";""0417902"";480;401;4711;116;3"
"2025;""04"";""08119000"";""10"";""245"";""PE"";""01"";""0417902"";1440;1440;5097;133;4"
"2025;""03"";""03047400"";""10"";""063"";""SP"";""07"";""0917500"";70997;70997;214890;7179;107"
"2025;""10"";""39199090"";""10"";""361"";""AM"";""01"";""0417902"";143;143;7335;39;5"
