CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
2025;10;55151200;10;063;MS;07;1017500;542;542;3648
2025;09;30049069;10;493;SP;04;0817600;5148;5148;571527
2025;02;20089100;10;249;SP;01;0817800;117;117;1414
2025;04;85392110;11;169;PR;04;0917900;10;0;4
2025;10;84314100;11;023;SP;01;0817800;23;110;478
2025;08;40103200;10;023;SP;04;0817600;0;0;14
2025;07;84313900;10;160;SP;04;0817600;13;13;238
2025;01;94037000;11;239;PR;01;0817800;4;12;306
2025;03;87085099;10;169;SP;01;0817800;2259;2259;31970
2025;07;03061690;10;351;RJ;01;0717600;30;30;332
2025;10;90019010;10;249;SP;04;0817700;0;0;649
2025;02;71131900;10;275;RJ;04;0817600;0;0;2890
2025;05;69072200;15;474;SP;01;0817800;9597;156506;35089
2025;09;61082200;11;845;SC;07;1017701;7556;635;17615
2025;01;87089990;10;586;PR;07;0917500;185;185;1358
2025;02;33043000;10;337;AM;07;0260152;29;29;69
2025;06;84099961;11;158;SP;01;0817800;28;11;952
2025;09;84099112;11;845;SP;07;1017701;14;158;5892
2025;02;87082919;11;275;RS;04;0817600;67;603;4208
2025;04;85182990;11;345;RS;04;0817700;6;2;51
2025;01;22089000;17;399;ES;01;0727600;2;2;11
2025;12;08054000;10;434;MA;01;0317903;85;85;399
2025;01;02062990;10;281;MG;01;0917800;177;177;354
2025;04;34011190;10;431;SP;04;0817600;162;162;1479
2025;06;85015110;11;361;SC;04;0817700;1;5;652
2025;12;19012090;10;741;SP;01;0917800;11;11;19
2025;01;08071900;10;232;SP;01;0817800;361;361;719
2025;02;33061000;10;127;BA;01;0517800;3;3;2
2025;06;84213990;11;169;PR;01;0917800;3717;1963;17255
2025;09;40103300;10;756;SP;04;0817600;1;1;27
2025;01;48195000;10;169;PR;04;0817700;128;128;1693
2025;03;02101900;10;741;MA;01;0317903;159;159;592
2025;09;39239090;10;063;RS;07;1017500;1066;1066;5041
2025;08;35069110;10;239;RS;01;1017700;5958;5958;14388
2025;01;03038990;10;741;RJ;01;0717800;20;20;65
2025;06;07031019;10;476;CE;01;0317900;140;142;236
2025;08;02032900;10;741;RS;01;0927800;598798;598798;1863244
2025;02;11081200;10;467;PR;01;0917800;24;24;50
2025;05;19053100;10;249;SP;01;0817800;97632;97632;350039
2025;02;84818097;11;158;SP;04;0817600;24;145;10290
2025;01;20081100;10;476;SP;01;0917800;25;25;88
2025;02;39241000;10;647;MG;01;0817800;741;741;11541
2025;08;02023000;10;741;TO;01;0417902;10271;10271;55287
2025;10;84369900;10;169;SP;01;0817800;48;48;1087
2025;11;20041000;10;580;ES;01;0727600;92;92;381
2025;03;21039091;10;467;SP;01;0817800;34;34;470
2025;08;96034090;11;249;SP;04;0817600;110;16;628
2025;03;85015290;11;493;SC;01;0817800;1;22;565
2025;12;39203000;10;267;RS;01;1017700;7;7;48
