CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,nm_estado,id_country,id_urf,id_product
2025,12,19059090,10,580,PE,1,417902,47,47,272,Pernambuco,PANAMA,IPOJUCA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,8,8094000,10,77,SC,1,1017700,3,3,52,Santa Catarina,BAHAMAS,RIO_GRANDE,FRUTAS
2025,6,2023000,10,160,MT,1,817800,13333002,13333002,74137285,Mato Grosso,CHINA,SANTOS,CARNES
2025,7,7099300,10,163,SP,1,817800,113,113,194,São Paulo,CHIPRE,SANTOS,HF_LEGUMES_TEMPEROS
2025,10,2101200,10,163,PR,1,917800,10,10,42,Paraná,CHIPRE,PARANAGUA,CARNES
2025,8,2071412,10,23,SP,1,817800,20,20,35,São Paulo,ALEMANHA,SANTOS,CARNES
2025,4,7052900,10,476,PE,1,417900,14,14,31,Pernambuco,MARSHALL_ILHAS,RECIFE,HF_LEGUMES_TEMPEROS
2025,2,15162000,10,158,SC,7,1017500,20,20,304,Santa Catarina,CHILE,URUGUAIANA,OLEOS_VEGETAIS
2025,7,44111310,16,586,SP,7,917500,3,2656,687,São Paulo,PARAGUAI,FOZ_DO_IGUACU,MADEIRA_PRODUTOS_COM_MADEIRA
2025,3,48025793,10,589,BA,1,817800,26870,26870,23668,Bahia,PERU,SANTOS,PAPEIS_EM_GERAL
2025,9,8043000,10,455,SP,1,717600,14,14,24,São Paulo,MALASIA,RIO_DE_JANEIRO,FRUTAS
2025,3,94036000,11,586,PR,7,147800,46,819,2647,Paraná,PARAGUAI,PONTA_PORA,MOVEIS
2025,6,4069030,10,434,SP,1,917800,10,10,85,São Paulo,LIBERIA,PARANAGUA,LACTEOS
2025,4,20091900,10,190,ES,1,817800,5,5,7,Espírito Santo,COREIA_DO_SUL,SANTOS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,12,42032900,13,476,SP,1,717600,30,2,159,São Paulo,MARSHALL_ILHAS,RIO_DE_JANEIRO,ARTIGOS_COUROS_PELES
2025,10,2071422,10,741,MG,1,817800,135000,135000,353580,Minas Gerais,SINGAPURA,SANTOS,CARNES
2025,3,7039090,10,434,RJ,1,710251,22,22,72,Rio de Janeiro,LIBERIA,CAMPOS_DOS_GOYTACAZES,HF_LEGUMES_TEMPEROS
2025,11,17049090,10,580,ES,1,727600,0,0,4,Espírito Santo,PANAMA,VITORIA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,9,8071100,10,445,RS,1,1017800,60,60,28,Rio Grande do Sul,LUXEMBURGO,PORTO_ALEGRE,FRUTAS
2025,9,2062910,10,53,SP,1,817800,2504,2504,8461,São Paulo,ARABIA_SAUDITA,SANTOS,CARNES
2025,5,19023000,10,87,SP,1,817800,689,689,4649,São Paulo,BELGICA,SANTOS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,2,61091000,11,163,SC,4,817600,14,5,96,Santa Catarina,CHIPRE,SAO_PAULO,VESTUARIO
2025,5,7051900,10,83,BA,1,517800,5,5,19,Bahia,BARBADOS,SALVADOR,HF_LEGUMES_TEMPEROS
2025,7,8044000,10,538,PE,1,417902,10,10,30,Pernambuco,NORUEGA,IPOJUCA,FRUTAS
2025,5,7061000,10,244,PA,1,217800,115,115,75,Pará,EMIRADOS_ARABES_UNIDOS,BELEM,HF_LEGUMES_TEMPEROS
2025,3,8039000,10,351,RJ,1,717800,101,101,178,Rio de Janeiro,HONG_KONG,ITAGUAI,FRUTAS
2025,10,35040019,10,249,SP,1,817800,4060,4060,17052,São Paulo,ESTADOS_UNIDOS,SANTOS,PROTEINAS_DIVERSAS
2025,4,2032200,10,476,BA,1,517800,105,105,503,Bahia,MARSHALL_ILHAS,SALVADOR,CARNES
2025,3,48194000,10,249,SP,4,817600,54,54,1723,São Paulo,ESTADOS_UNIDOS,SAO_PAULO,PAPEIS_EM_GERAL
2025,7,4059010,10,190,ES,1,717800,1,1,9,Espírito Santo,COREIA_DO_SUL,ITAGUAI,LACTEOS
2025,11,7096000,10,80,SP,1,817800,100,100,408,São Paulo,BAREIN,SANTOS,HF_LEGUMES_TEMPEROS
2025,4,48043110,10,845,SC,7,1017701,27240,27240,34310,Santa Catarina,URUGUAI,CHUI,PAPEIS_EM_GERAL
2025,1,2031900,10,580,SP,1,717800,25,25,100,São Paulo,PANAMA,ITAGUAI,CARNES
2025,9,9103000,10,351,SC,1,917800,2,2,36,Santa Catarina,HONG_KONG,PARANAGUA,HF_LEGUMES_TEMPEROS
2025,10,4081900,10,580,MA,1,317903,5,5,151,Maranhão,PANAMA,SAO_LUIS,OVOS
2025,8,44152000,11,69,SP,1,817800,2,60,28,São Paulo,AUSTRALIA,SANTOS,MADEIRA_PRODUTOS_COM_MADEIRA
2025,11,10063021,10,589,RS,1,1017700,2904000,2904000,1479176,Rio Grande do Sul,PERU,RIO_GRANDE,ARROZ
2025,10,23099090,10,576,SP,1,817800,31000,31000,108520,São Paulo,PAQUISTAO,SANTOS,FARELOS_TORTAS_PREPARACOES_PARA_ALIMENTACAO_ANIMAL
2025,11,64035190,13,249,RS,4,817600,7000,8025,431835,Rio Grande do Sul,ESTADOS_UNIDOS,SAO_PAULO,CALCADOS_EM_GERAL
2025,1,7069000,10,163,PA,1,217800,4,4,5,Pará,CHIPRE,BELEM,HF_LEGUMES_TEMPEROS
2025,7,4029900,10,476,RS,1,1017700,20,20,134,Rio Grande do Sul,MARSHALL_ILHAS,RIO_GRANDE,LACTEOS
2025,5,61091000,11,586,SP,7,917500,20,3,282,São Paulo,PARAGUAI,FOZ_DO_IGUACU,VESTUARIO
2025,11,8062000,10,434,PR,1,917800,2,2,9,Paraná,LIBERIA,PARANAGUA,FRUTAS
2025,5,7132090,10,607,ES,1,727600,8,8,25,Espírito Santo,PORTUGAL,VITORIA,HF_LEGUMES_TEMPEROS
2025,7,4051000,10,741,PA,0,210200,6,6,53,Pará,SINGAPURA,SANTAREM,LACTEOS
2025,8,3061790,10,434,ES,1,727600,46,46,572,Espírito Santo,LIBERIA,VITORIA,CARNES
2025,9,94034000,11,196,PR,1,927800,300,19000,23985,Paraná,COSTA_RICA,ITAJAI,MOVEIS
2025,9,8061000,10,43,RS,1,1017700,20,20,47,Rio Grande do Sul,ANTIGUA_E_BARBUDA,RIO_GRANDE,FRUTAS
2025,9,4051000,10,434,PR,1,927502,20,20,258,Paraná,LIBERIA,IMBITUBA,LACTEOS
2025,2,35030019,10,301,SC,1,917800,1,1,32,Santa Catarina,GRECIA,PARANAGUA,PROTEINAS_DIVERSAS
2025,8,7070000,10,741,AM,1,227600,60,60,57,Amazonas,SINGAPURA,MANAUS,HF_LEGUMES_TEMPEROS
2025,11,42022210,11,245,CE,1,317900,62,36,897,Ceará,ESPANHA,FORTALEZA,ARTIGOS_COUROS_PELES
2025,8,4022910,10,434,RS,1,1017800,7,7,27,Rio Grande do Sul,LIBERIA,PORTO_ALEGRE,LACTEOS
2025,8,2013000,10,741,MA,1,317903,62,62,477,Maranhão,SINGAPURA,SAO_LUIS,CARNES
2025,11,2071422,10,200,RS,1,927700,4800,4800,11806,Rio Grande do Sul,CURACAO,SAO_FRANCISCO_DO_SUL,CARNES
2025,5,4072100,20,607,ES,1,727600,180,167,454,Espírito Santo,PORTUGAL,VITORIA,OVOS
2025,12,8072000,10,23,BA,4,817600,14156,14156,22946,Bahia,ALEMANHA,SAO_PAULO,FRUTAS
2025,1,4071100,20,476,ES,1,727600,300,175,380,Espírito Santo,MARSHALL_ILHAS,VITORIA,OVOS
2025,3,7051100,10,476,SP,1,917800,10,10,29,São Paulo,MARSHALL_ILHAS,PARANAGUA,HF_LEGUMES_TEMPEROS
2025,6,20095000,10,538,RJ,1,812051,24,24,105,Rio de Janeiro,NORUEGA,SAO_SEBASTIAO,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,8,20021000,10,467,AM,1,227600,5,5,28,Amazonas,MALTA,MANAUS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,9,8051000,10,399,CE,1,317900,50,50,31,Ceará,JAPAO,FORTALEZA,FRUTAS
2025,2,3073900,10,580,RJ,1,717600,5,5,33,Rio de Janeiro,PANAMA,RIO_DE_JANEIRO,CARNES
2025,8,2071429,10,163,RJ,1,717800,10,10,48,Rio de Janeiro,CHIPRE,ITAGUAI,CARNES
2025,3,19053100,10,434,SP,1,927800,59,59,219,São Paulo,LIBERIA,ITAJAI,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,1,2062990,10,190,ES,1,727600,10,10,30,Espírito Santo,COREIA_DO_SUL,VITORIA,CARNES
2025,2,21039021,10,467,ES,1,727600,40,40,87,Espírito Santo,MALTA,VITORIA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,9,11041900,10,163,SP,1,817800,5,5,60,São Paulo,CHIPRE,SANTOS,OUTROS_CEREAIS
2025,7,7134090,10,741,PA,1,217800,30,30,247,Pará,SINGAPURA,BELEM,HF_LEGUMES_TEMPEROS
2025,11,41079210,15,845,RS,7,1010252,448,316,4692,Rio Grande do Sul,URUGUAI,JAGUARAO,COUROS_PELES
2025,6,2062990,10,403,RO,1,817800,1862,1862,3387,Rondônia,JORDANIA,SANTOS,CARNES
2025,12,10063021,10,145,AM,1,227600,50,50,111,Amazonas,CAMAROES,MANAUS,ARROZ
2025,4,2050000,10,301,RJ,1,717600,1084,1084,2911,Rio de Janeiro,GRECIA,RIO_DE_JANEIRO,CARNES
2025,9,7093000,10,160,PR,1,917800,175,175,200,Paraná,CHINA,PARANAGUA,HF_LEGUMES_TEMPEROS
2025,4,8093010,10,434,ES,1,727600,40,40,89,Espírito Santo,LIBERIA,VITORIA,FRUTAS
2025,4,2044200,10,190,ES,1,727600,5,5,45,Espírito Santo,COREIA_DO_SUL,VITORIA,CARNES
2025,5,21039021,10,97,SP,7,147600,864,864,2009,São Paulo,BOLIVIA,CORUMBA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,9,23040010,21,63,RS,7,1017500,26,26000,20280,Rio Grande do Sul,ARGENTINA,URUGUAIANA,FARELOS_TORTAS_PREPARACOES_PARA_ALIMENTACAO_ANIMAL
2025,10,20089900,10,249,AP,1,317900,18,18,9,Amapá,ESTADOS_UNIDOS,FORTALEZA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,3,10062010,10,301,SP,1,817800,15,15,21,São Paulo,GRECIA,SANTOS,ARROZ
2025,11,9030090,10,573,SP,1,817800,110,110,939,São Paulo,PAISES_BAIXOS_HOLANDA,SANTOS,CHA
2025,7,11081200,10,434,ES,1,710251,8,8,22,Espírito Santo,LIBERIA,CAMPOS_DOS_GOYTACAZES,AMIDO
2025,10,12074090,10,301,SP,1,812051,1,1,5,São Paulo,GRECIA,SAO_SEBASTIAO,GERGELIM
2025,1,19021900,10,301,PR,1,917800,25,25,85,Paraná,GRECIA,PARANAGUA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,4,21041021,10,434,AM,1,227600,0,0,3,Amazonas,LIBERIA,MANAUS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,2,4063000,10,580,SP,1,817800,3,3,44,São Paulo,PANAMA,SANTOS,LACTEOS
2025,8,2071419,10,351,SP,1,917800,105,105,385,São Paulo,HONG_KONG,PARANAGUA,CARNES
